1	1	116.878	120.255	113.997	NA	NA	NA	NA	40	40	1	1	2	-56.439	159.544666666667	116.211333333333
1	2	120.534	127.289	114.772	0.424	0.752	0.7727	1	6	34	0.439	0.958	4	-56.267	164.298705882353	118.416352941176
1	3	119.401	129.535	110.759	0.889	0.3829	0.4237	0.2273	5	22	0.934	0.965	6	-53.701	164.902	116.152
27	1	111.051	114.429	108.17	NA	NA	NA	NA	40	40	1	1	2	-53.526	153.718666666667	110.385333333333
27	2	113.61	120.366	107.849	0.793	0.3787	0.4112	0.5	4	36	0.731	0.979	4	-52.805	157.374705882353	111.492352941176
27	3	113.383	123.517	104.741	0.897	0.0854	0.1138	0.1818	4	29	0.926	0.987	6	-50.692	158.884	110.134
52	1	126.29	129.668	123.409	NA	NA	NA	NA	40	40	1	1	2	-61.145	168.956666666667	125.623333333333
52	2	130.187	136.943	124.426	0.716	0.7628	0.773	1	1	39	0.214	0.99	4	-61.094	173.952705882353	128.070352941176
52	3	133.489	143.622	124.846	0.678	0.8971	0.9116	1	3	31	0.571	0.966	6	-60.744	178.988	130.238
62	1	129.517	132.895	126.636	NA	NA	NA	NA	40	40	1	1	2	-62.759	172.184666666667	128.851333333333
62	2	133.128	139.884	127.367	0.584	0.7242	0.7409	1	4	36	0.424	0.954	4	-62.564	176.892705882353	131.010352941176
62	3	135.811	145.944	127.169	0.792	0.8592	0.8739	1	8	20	0.896	0.959	6	-61.905	181.31	132.56
76	1	123.296	126.674	120.415	NA	NA	NA	NA	40	40	1	1	2	-59.648	165.962666666667	122.629333333333
76	2	126.819	133.575	121.058	0.385	0.7829	0.8061	1	18	22	0.765	0.825	4	-59.41	170.584705882353	124.702352941176
76	3	129.514	139.648	120.872	0.678	0.4064	0.4405	0.6667	3	25	0.599	0.918	6	-58.757	175.014	126.264
92	1	123.81	127.188	120.929	NA	NA	NA	NA	40	40	1	1	2	-59.905	166.476666666667	123.143333333333
92	2	123.503	130.259	117.741	0.761	0.1923	0.2338	0.2	14	26	0.909	0.943	4	-57.751	167.266705882353	121.384352941176
92	3	124.858	134.991	116.216	0.792	0.3054	0.3479	0.2	6	21	0.806	0.954	6	-56.429	170.358	121.608
118	1	166.726	170.104	163.845	NA	NA	NA	NA	40	40	1	1	2	-81.363	209.392666666667	166.059333333333
118	2	167.629	174.385	161.868	0.683	0.3408	0.3979	0.2857	20	20	0.88	0.951	4	-79.815	211.394705882353	165.512352941176
118	3	171.267	181.4	162.624	0.659	0.8386	0.8483	1	8	20	0.728	0.967	6	-79.633	216.766	168.016
135	1	152.341	155.718	149.46	NA	NA	NA	NA	40	40	1	1	2	-74.17	195.006666666667	151.673333333333
135	2	150.156	156.911	144.394	0.774	0.0553	0.0796	0.0674	19	21	0.922	0.946	4	-71.078	193.920705882353	148.038352941176
135	3	152.831	162.964	144.189	0.752	0.6006	0.6397	1	10	17	0.816	0.973	6	-70.415	198.33	149.58
157	1	158.039	161.417	155.158	NA	NA	NA	NA	40	40	1	1	2	-77.019	200.704666666667	157.371333333333
