8	1	123.018	126.396	120.137	NA	NA	NA	NA	40	40	1	1	2	-59.509	165.684666666667	122.351333333333
8	2	123.929	130.685	118.167	0.732	0.1731	0.2122	0.2857	9	31	0.839	0.959	4	-57.965	167.694705882353	121.812352941176
8	3	127.099	137.232	118.456	0.677	0.6827	0.7155	0.6667	8	23	0.662	0.947	6	-57.549	172.598	123.848
34	1	115.619	118.997	112.738	NA	NA	NA	NA	40	40	1	1	2	-55.809	158.284666666667	114.951333333333
34	2	119.22	125.975	113.458	0.452	0.9195	0.9291	1	16	24	0.778	0.886	4	-55.61	162.984705882353	117.102352941176
34	3	115.877	126.011	107.235	0.853	0.0235	0.0334	0.02	4	22	0.893	0.924	6	-51.939	161.378	112.628
75	1	126.16	129.537	123.279	NA	NA	NA	NA	40	40	1	1	2	-61.08	168.826666666667	125.493333333333
75	2	129.324	136.08	123.563	0.473	0.6814	0.7124	1	12	28	0.69	0.904	4	-60.662	173.088705882353	127.206352941176
75	3	132.739	142.872	124.097	0.63	0.6844	0.7044	0.5	4	18	0.642	0.901	6	-60.37	178.24	129.49
80	1	134.442	137.819	131.561	NA	NA	NA	NA	40	40	1	1	2	-65.221	177.108666666667	133.775333333333
80	2	135.928	142.683	130.166	0.621	0.301	0.3521	0.3077	20	20	0.885	0.895	4	-63.964	179.692705882353	133.810352941176
80	3	138.923	149.056	130.28	0.693	0.7048	0.7376	1	11	15	0.801	0.925	6	-63.461	184.422	135.672
97	1	110.08	113.458	107.2	NA	NA	NA	NA	40	40	1	1	2	-53.04	152.746666666667	109.413333333333
97	2	112.988	119.744	107.227	0.469	0.6894	0.7167	0.5	13	27	0.696	0.907	4	-52.494	156.752705882353	110.870352941176
97	3	113.393	123.526	104.751	0.784	0.3807	0.4155	0.1395	7	20	0.878	0.913	6	-50.697	158.894	110.144
123	1	147.523	150.9	144.642	NA	NA	NA	NA	40	40	1	1	2	-71.761	190.188666666667	146.855333333333
123	2	150.347	157.102	144.585	0.502	0.5298	0.5729	0.5	17	23	0.818	0.86	4	-71.173	194.110705882353	148.228352941176
123	3	153.243	163.376	144.601	0.662	0.6387	0.6752	0.6667	8	20	0.784	0.863	6	-70.621	198.742	149.992
134	1	156.628	160.005	153.747	NA	NA	NA	NA	40	40	1	1	2	-76.314	199.294666666667	155.961333333333
134	2	150.18	156.936	144.419	0.916	0.0141	0.0234	0	19	21	0.984	0.987	4	-71.09	193.944705882353	148.062352941176
134	3	152.997	163.13	144.355	0.819	0.4563	0.4894	0.6667	5	21	0.704	0.997	6	-70.499	198.498	149.748
146	1	158.574	161.952	155.694	NA	NA	NA	NA	40	40	1	1	2	-77.287	201.240666666667	157.907333333333
146	2	158.902	165.658	153.141	0.702	0.2125	0.2585	0.2083	17	23	0.906	0.913	4	-75.451	202.666705882353	156.784352941176
146	3	158.986	169.119	150.344	0.833	0.1575	0.1947	0.1463	6	21	0.815	0.957	6	-73.493	204.486	155.736
169	1	155.525	158.903	152.644	NA	NA	NA	NA	40	40	1	1	2	-75.762	198.190666666667	154.857333333333
169	2	154.355	161.111	148.594	0.732	0.0938	0.1244	0.2	15	25	0.887	0.947	4	-73.178	198.120705882353	152.238352941176
169	3	155.465	165.599	146.823	0.797	0.5462	0.5887	0.2	12	15	0.829	0.961	6	-71.733	200.966	152.216
184	1	171.156	174.534	168.275	NA	NA	NA	NA	40	40	1	1	2	-83.578	213.822666666667	170.489333333333
184	2	172.777	179.533	167.016	0.647	0.2436	0.2857	0.3077	9	31	0.719	0.966	4	-82.389	216.542705882353	170.660352941176
184	3	172.578	182.712	163.936	0.85	0.3311	0.3815	0.2667	8	20	0.889	0.964	6	-80.289	218.078	169.328
198	1	171.485	174.862	168.604	NA	NA	NA	NA	40	40	1	1	2	-83.742	214.150666666667	170.817333333333
198	2	169.077	175.832	163.315	0.738	0.0628	0.0874	0.05	17	23	0.881	0.946	4	-80.538	212.840705882353	166.958352941176
198	3	168.038	178.172	159.396	0.836	0.1108	0.1437	0.1463	12	16	0.866	0.973	6	-78.019	213.538	164.788
229	1	178.339	181.717	175.459	NA	NA	NA	NA	40	40	1	1	2	-87.17	221.006666666667	177.673333333333
229	2	172.444	179.199	166.682	0.85	0.0099	0.0174	0	17	23	0.946	0.967	4	-82.222	216.208705882353	170.326352941176
229	3	175.845	185.978	167.202	0.698	0.7876	0.8072	1	10	15	0.707	0.943	6	-81.922	221.344	172.594
251	1	171.633	175.011	168.752	NA	NA	NA	NA	40	40	1	1	2	-83.816	214.298666666667	170.965333333333
251	2	154.184	160.94	148.423	0.945	3e-04	9e-04	0	19	21	0.975	0.989	4	-73.092	197.948705882353	152.066352941176
251	3	157.366	167.499	148.724	0.875	0.6061	0.636	1	2	20	0.479	0.993	6	-72.683	202.866	154.116
266	1	186.711	190.089	183.83	NA	NA	NA	NA	40	40	1	1	2	-91.356	229.378666666667	186.045333333333
266	2	180.212	186.968	174.451	0.858	0.035	0.0525	0	18	22	0.962	0.964	4	-86.106	223.976705882353	178.094352941176
266	3	177.19	187.323	168.547	0.886	0.1719	0.2078	0	12	15	0.917	0.969	6	-82.595	222.69	173.94
297	1	177.945	181.323	175.064	NA	NA	NA	NA	40	40	1	1	2	-86.973	220.612666666667	177.279333333333
297	2	156.843	163.599	151.082	0.989	0.001	0.0021	0	19	21	0.998	0.999	4	-74.422	200.608705882353	154.726352941176
297	3	158.724	168.858	150.082	0.96	0.126	0.1517	0.2353	1	21	0.687	1	6	-73.362	204.224	155.474
309	1	303.226	308.437	302.12	NA	NA	NA	NA	100	100	1	1	2	-149.613	405.476	302.351
309	2	306.771	317.191	304.558	0.634	0.7239	0.7386	1	8	92	0.434	0.97	4	-149.385	409.40829787234	304.08914893617
309	3	305.424	321.055	302.106	0.768	0.1039	0.127	0.2083	12	75	0.725	0.954	6	-146.712	408.641391304348	301.032695652174
326	1	331.496	336.707	330.39	NA	NA	NA	NA	100	100	1	1	2	-163.748	433.746	330.621
326	2	335.082	345.502	332.869	0.714	0.6189	0.637	1	3	97	0.254	0.989	4	-163.541	437.72029787234	332.40114893617
326	3	338.497	354.128	335.178	0.679	0.687	0.7001	1	2	92	0.218	0.979	6	-163.248	441.713391304348	334.104695652174
343	1	292.832	298.042	291.726	NA	NA	NA	NA	100	100	1	1	2	-144.416	395.082	291.957
343	2	294.745	305.165	292.532	0.577	0.6978	0.7242	0.6667	48	52	0.876	0.887	4	-143.372	397.38229787234	292.06314893617
343	3	293.572	309.203	290.253	0.803	0.14	0.1606	0.1053	4	51	0.73	0.93	6	-140.786	396.789391304348	289.180695652174
379	1	292.367	297.578	291.261	NA	NA	NA	NA	100	100	1	1	2	-144.184	394.618	291.493
379	2	290.439	300.86	288.227	0.603	0.0713	0.0929	0.0505	48	52	0.875	0.877	4	-141.22	393.07829787234	287.75914893617
379	3	289.562	305.193	286.244	0.745	0.2268	0.2621	0.0952	29	41	0.853	0.903	6	-138.781	392.779391304348	285.170695652174
426	1	394.042	399.252	392.936	NA	NA	NA	NA	100	100	1	1	2	-195.021	496.292	393.167
426	2	394.355	404.776	392.143	0.545	0.1645	0.1997	0.2143	41	59	0.821	0.881	4	-193.178	496.99429787234	391.67514893617
426	3	396.71	412.341	393.392	0.667	0.6307	0.6634	0.6667	22	41	0.819	0.885	6	-192.355	499.927391304348	392.318695652174
434	1	373.984	379.194	372.878	NA	NA	NA	NA	100	100	1	1	2	-184.992	476.234	373.109
434	2	352.435	362.855	350.222	0.864	0	1e-04	0	49	51	0.955	0.975	4	-172.217	455.07229787234	349.75314893617
434	3	352.533	368.164	349.214	0.783	0.1881	0.2204	0.1395	24	50	0.766	0.99	6	-170.266	455.749391304348	348.140695652174
461	1	385.045	390.255	383.939	NA	NA	NA	NA	100	100	1	1	2	-190.522	487.294	384.169
461	2	380.303	390.724	378.091	0.682	0.0156	0.024	0.0303	46	54	0.897	0.915	4	-186.151	482.94029787234	377.62114893617
461	3	382.945	398.576	379.626	0.688	0.6375	0.6672	0.6667	25	40	0.828	0.915	6	-185.472	486.161391304348	378.552695652174
490	1	393.085	398.295	391.978	NA	NA	NA	NA	100	100	1	1	2	-194.542	495.334	392.209
490	2	383.8	394.22	381.587	0.745	0.0032	0.0056	0	48	52	0.918	0.938	4	-187.9	486.43829787234	381.11914893617
490	3	383.003	398.634	379.684	0.742	0.2132	0.2464	0.08	27	37	0.836	0.933	6	-185.501	486.219391304348	378.610695652174
531	1	445.98	451.19	444.874	NA	NA	NA	NA	100	100	1	1	2	-220.99	548.23	445.105
531	2	418.201	428.622	415.989	0.906	0	0	0	49	51	0.968	0.986	4	-205.101	520.84029787234	415.52114893617
531	3	422.084	437.715	418.765	0.671	0.8321	0.8409	1	19	51	0.515	0.976	6	-205.042	525.301391304348	417.692695652174
548	1	441.396	446.606	440.29	NA	NA	NA	NA	100	100	1	1	2	-218.698	543.646	440.521
548	2	407.244	417.665	405.032	0.929	0	0	0	48	52	0.975	0.989	4	-199.622	509.88229787234	404.56314893617
548	3	407.013	422.644	403.695	0.803	0.1257	0.1543	0.1395	17	50	0.734	0.987	6	-197.507	510.231391304348	402.622695652174
571	1	443.727	448.938	442.621	NA	NA	NA	NA	100	100	1	1	2	-219.864	545.978	442.853
571	2	425.861	436.281	423.648	0.848	0.001	0.0018	0	49	51	0.949	0.973	4	-208.93	528.49829787234	423.17914893617
