16	1	125.291	128.669	122.41	NA	NA	NA	NA	40	40	1	1	2	-60.646	167.958666666667	124.625333333333
16	2	128.631	135.387	122.87	0.477	0.7939	0.8213	1	16	24	0.781	0.89	4	-60.316	172.396705882353	126.514352941176
16	3	132.3	142.433	123.657	0.684	0.9381	0.9436	1	6	21	0.739	0.893	6	-60.15	177.8	129.05
23	1	125.962	129.34	123.081	NA	NA	NA	NA	40	40	1	1	2	-60.981	168.628666666667	125.295333333333
23	2	126.757	133.512	120.995	0.728	0.4578	0.5002	0.2857	14	26	0.866	0.966	4	-59.378	170.520705882353	124.638352941176
23	3	123.923	134.056	115.28	0.923	0.0173	0.0263	0.0408	3	23	0.949	0.979	6	-55.961	169.422	120.672
72	1	132.082	135.459	129.201	NA	NA	NA	NA	40	40	1	1	2	-64.041	174.748666666667	131.415333333333
72	2	135.209	141.965	129.447	0.552	0.7391	0.7669	1	13	27	0.79	0.91	4	-63.605	178.974705882353	133.092352941176
72	3	137.026	147.159	128.384	0.802	0.2038	0.2358	1	3	26	0.789	0.948	6	-62.513	182.526	133.776
87	1	123.164	126.542	120.284	NA	NA	NA	NA	40	40	1	1	2	-59.582	165.830666666667	122.497333333333
87	2	124.763	131.519	119.002	0.653	0.3724	0.4212	0.3077	10	30	0.754	0.948	4	-58.382	168.528705882353	122.646352941176
87	3	128.687	138.821	120.045	0.718	0.8329	0.8376	1	1	29	0.383	0.933	6	-58.344	174.188	125.438
101	1	149.024	152.401	146.143	NA	NA	NA	NA	40	40	1	1	2	-72.512	191.690666666667	148.357333333333
101	2	149.807	156.562	144.045	0.673	0.2091	0.2544	0.2857	16	24	0.87	0.934	4	-70.903	193.570705882353	147.688352941176
101	3	151.395	161.528	142.752	0.784	0.3524	0.4011	0.4286	9	18	0.867	0.938	6	-69.697	196.894	148.144
115	1	163.392	166.769	160.511	NA	NA	NA	NA	40	40	1	1	2	-79.696	206.058666666667	162.725333333333
115	2	160.186	166.942	154.425	0.828	0.0513	0.0761	0.03	20	20	0.945	0.972	4	-76.093	203.950705882353	158.068352941176
115	3	163.921	174.055	155.279	0.7	0.8678	0.8766	0.6667	10	20	0.727	0.981	6	-75.961	209.422	160.672
140	1	160.679	164.056	157.798	NA	NA	NA	NA	40	40	1	1	2	-78.339	203.344666666667	160.011333333333
140	2	157.784	164.539	152.022	0.79	0.0411	0.0615	0.04	18	22	0.935	0.941	4	-74.892	201.548705882353	155.666352941176
140	3	161.118	171.251	152.476	0.699	0.7629	0.7872	0.6	11	15	0.762	0.937	6	-74.559	206.618	157.868
172	1	156.876	160.254	153.995	NA	NA	NA	NA	40	40	1	1	2	-76.438	199.542666666667	156.209333333333
