12	1	133.807	137.185	130.926	NA	NA	NA	NA	40	40	1	1	2	-64.904	176.474666666667	133.141333333333
12	2	136.409	143.164	130.647	0.572	0.4859	0.5312	0.5	10	30	0.689	0.967	4	-64.204	180.172705882353	134.290352941176
12	3	134.916	145.05	126.274	0.864	0.1239	0.1638	0.1132	10	20	0.903	0.983	6	-61.458	180.416	131.666
46	1	112.096	115.474	109.215	NA	NA	NA	NA	40	40	1	1	2	-54.048	154.762666666667	111.429333333333
46	2	113.983	120.739	108.222	0.917	0.0878	0.1098	0.3077	2	38	0.82	0.99	4	-52.992	157.748705882353	111.866352941176
46	3	110.042	120.175	101.399	0.935	0.0874	0.1214	0.0652	2	22	0.969	0.988	6	-49.021	155.542	106.792
83	1	133.923	137.3	131.042	NA	NA	NA	NA	40	40	1	1	2	-64.961	176.588666666667	133.255333333333
83	2	137.318	144.073	131.556	0.517	0.8265	0.846	1	14	26	0.792	0.894	4	-64.659	181.082705882353	135.200352941176
83	3	138.86	148.993	130.218	0.815	0.3116	0.3415	1	2	24	0.73	0.932	6	-63.43	184.36	135.61
100	1	124.545	127.923	121.664	NA	NA	NA	NA	40	40	1	1	2	-60.273	167.212666666667	123.879333333333
100	2	124.692	131.447	118.93	0.719	0.3226	0.3736	0.2	20	20	0.909	0.931	4	-58.346	168.456705882353	122.574352941176
100	3	127.097	137.231	118.455	0.842	0.2176	0.247	0.3333	1	20	0.872	0.948	6	-57.549	172.598	123.848
113	1	162.678	166.056	159.797	NA	NA	NA	NA	40	40	1	1	2	-79.339	205.344666666667	162.011333333333
113	2	157.167	163.922	151.405	0.873	0.0118	0.0207	0	18	22	0.946	0.992	4	-74.583	200.930705882353	155.048352941176
113	3	159.858	169.991	151.215	0.789	0.5157	0.5511	1	10	18	0.832	0.991	6	-73.929	205.358	156.608
128	1	161.497	164.875	158.616	NA	NA	NA	NA	40	40	1	1	2	-78.749	204.164666666667	160.831333333333
128	2	156.501	163.256	150.739	0.814	0.0226	0.0358	0.02	19	21	0.935	0.955	4	-74.25	200.264705882353	154.382352941176
128	3	158.046	168.179	149.403	0.798	0.3758	0.4235	0.3333	9	17	0.77	0.96	6	-73.023	203.546	154.796
155	1	170.383	173.761	167.503	NA	NA	NA	NA	40	40	1	1	2	-83.192	213.050666666667	169.717333333333
155	2	165.968	172.723	160.206	0.859	0.0322	0.0496	0.02	19	21	0.93	0.992	4	-78.984	209.732705882353	163.850352941176
155	3	169.644	179.778	161.002	0.848	0.6502	0.6685	1	1	21	0.453	0.996	6	-78.822	215.144	166.394
187	1	152.592	155.97	149.711	NA	NA	NA	NA	40	40	1	1	2	-74.296	195.258666666667	151.925333333333
