20	1	126.432	129.81	123.552	NA	NA	NA	NA	40	40	1	1	2	-61.216	169.098666666667	125.765333333333
20	2	129.983	136.739	124.222	0.53	0.7855	0.8021	1	7	33	0.583	0.951	4	-60.992	173.748705882353	127.866352941176
20	3	131.253	141.386	122.611	0.825	0.2945	0.3291	0.2667	3	27	0.825	0.947	6	-59.627	176.754	128.004
38	1	122.246	125.623	119.365	NA	NA	NA	NA	40	40	1	1	2	-59.123	164.912666666667	121.579333333333
38	2	122.893	129.649	117.132	0.628	0.2026	0.2453	0.2273	17	23	0.848	0.915	4	-57.447	166.658705882353	120.776352941176
38	3	117.792	127.925	109.149	0.912	0.0271	0.0416	0.0303	10	20	0.92	0.996	6	-52.896	163.292	114.542
91	1	123.562	126.94	120.681	NA	NA	NA	NA	40	40	1	1	2	-59.781	166.228666666667	122.895333333333
91	2	126.339	133.094	120.577	0.538	0.5913	0.6344	0.5	14	26	0.788	0.905	4	-59.169	170.102705882353	124.220352941176
91	3	130.159	140.292	121.517	0.563	0.9509	0.9554	1	8	19	0.771	0.812	6	-59.08	175.66	126.91
103	1	156.977	160.354	154.096	NA	NA	NA	NA	40	40	1	1	2	-76.488	199.642666666667	156.309333333333
103	2	156.939	163.695	151.177	0.769	0.1569	0.1997	0.2	16	24	0.938	0.948	4	-74.469	200.702705882353	154.820352941176
103	3	156.941	167.075	148.299	0.841	0.2929	0.3349	0.1053	9	17	0.901	0.951	6	-72.471	202.442	153.692
127	1	158.327	161.705	155.446	NA	NA	NA	NA	40	40	1	1	2	-77.163	200.992666666667	157.659333333333
127	2	158.388	165.143	152.626	0.68	0.1545	0.1943	0.2	18	22	0.907	0.91	4	-75.194	202.152705882353	156.270352941176
127	3	159.977	170.11	151.334	0.773	0.4027	0.4506	0.4286	10	15	0.868	0.932	6	-73.988	205.476	156.726
141	1	171.196	174.574	168.315	NA	NA	NA	NA	40	40	1	1	2	-83.598	213.862666666667	170.529333333333
141	2	172.995	179.751	167.234	0.67	0.5618	0.6059	0.3077	17	23	0.86	0.94	4	-82.498	216.760705882353	170.878352941176
141	3	172.613	182.746	163.971	0.89	0.0817	0.1035	0.4286	3	21	0.901	0.968	6	-80.307	218.114	169.364
148	1	159.434	162.812	156.554	NA	NA	NA	NA	40	40	1	1	2	-77.717	202.100666666667	158.767333333333
148	2	157.742	164.497	151.98	0.838	0.2796	0.3245	0.1463	19	21	0.964	0.964	4	-74.871	201.506705882353	155.624352941176
148	3	159.134	169.268	150.492	0.896	0.3092	0.3355	0.2353	2	19	0.831	0.989	6	-73.567	204.634	155.884
174	1	160.688	164.066	157.808	NA	NA	NA	NA	40	40	1	1	2	-78.344	203.354666666667	160.021333333333
174	2	161.665	168.421	155.904	0.647	0.2324	0.279	0.2857	16	24	0.833	0.937	4	-76.833	205.430705882353	159.548352941176
174	3	164.523	174.657	155.881	0.702	0.7049	0.7352	0.5	9	16	0.823	0.921	6	-76.262	210.024	161.274
181	1	162.326	165.704	159.445	NA	NA	NA	NA	40	40	1	1	2	-79.163	204.992666666667	161.659333333333
181	2	166.012	172.768	160.251	0.419	0.8928	0.904	1	12	28	0.668	0.902	4	-79.006	209.776705882353	163.894352941176
181	3	169.063	179.197	160.421	0.744	0.2495	0.27	1	1	28	0.733	0.943	6	-78.532	214.564	165.814
191	1	156.104	159.482	153.224	NA	NA	NA	NA	40	40	1	1	2	-76.052	198.770666666667	155.437333333333
191	2	158.282	165.037	152.52	0.609	0.6742	0.7018	0.5	14	26	0.836	0.917	4	-75.141	202.046705882353	156.164352941176
191	3	158.335	168.468	149.693	0.823	0.0275	0.0368	0.2857	1	21	0.894	0.982	6	-73.167	203.834	155.084
203	1	176.554	179.932	173.673	NA	NA	NA	NA	40	40	1	1	2	-86.277	219.220666666667	175.887333333333
203	2	172.656	179.411	166.894	0.864	0.1057	0.1375	0.02	19	21	0.953	0.977	4	-82.328	216.420705882353	170.538352941176
203	3	174.421	184.554	165.779	0.907	0.192	0.2231	0.3333	2	20	0.893	0.97	6	-81.21	219.92	171.17
239	1	177.931	181.309	175.05	NA	NA	NA	NA	40	40	1	1	2	-86.965	220.596666666667	177.263333333333
239	2	159.424	166.18	153.663	0.988	0	1e-04	0	19	21	0.998	0.999	4	-75.712	203.188705882353	157.306352941176
239	3	162.766	172.899	154.123	0.799	0.7687	0.7862	1	10	19	0.821	1	6	-75.383	208.266	159.516
247	1	167.567	170.945	164.686	NA	NA	NA	NA	40	40	1	1	2	-81.784	210.234666666667	166.901333333333
247	2	144.535	151.291	138.773	0.975	1e-04	3e-04	0	19	21	0.989	1	4	-68.268	188.300705882353	142.418352941176
247	3	146.784	156.917	138.141	0.801	0.5762	0.6057	1	7	19	0.681	0.998	6	-67.392	192.284	143.534
260	1	175.152	178.529	172.271	NA	NA	NA	NA	40	40	1	1	2	-85.576	217.818666666667	174.485333333333
260	2	166.347	173.102	160.585	0.91	0.0022	0.0048	0	20	20	0.973	0.983	4	-79.173	210.110705882353	164.228352941176
260	3	170.259	180.392	161.617	0.677	0.8792	0.8854	1	7	20	0.5	0.99	6	-79.129	215.758	167.008
276	1	180.161	183.539	177.28	NA	NA	NA	NA	40	40	1	1	2	-88.081	222.828666666667	179.495333333333
276	2	174.615	181.371	168.854	0.883	0.0177	0.0295	0	19	21	0.967	0.975	4	-83.308	218.380705882353	172.498352941176
276	3	176.672	186.805	168.029	0.842	0.466	0.4989	0.6667	6	20	0.793	0.987	6	-82.336	222.172	173.422
295	1	185.224	188.601	182.343	NA	NA	NA	NA	40	40	1	1	2	-90.612	227.890666666667	184.557333333333
295	2	170.117	176.872	164.355	0.953	0.0047	0.0086	0	19	21	0.99	0.991	4	-81.058	213.880705882353	167.998352941176
295	3	171.537	181.67	162.895	0.876	0.2775	0.3168	0.1935	3	19	0.629	0.999	6	-79.768	217.036	168.286
316	1	323.599	328.81	322.493	NA	NA	NA	NA	100	100	1	1	2	-159.8	425.85	322.725
316	2	325.492	335.912	323.279	0.519	0.3068	0.345	0.6667	25	75	0.682	0.933	4	-158.746	428.13029787234	322.81114893617
316	3	328.083	343.714	324.765	0.618	0.6051	0.6389	0.6667	21	55	0.731	0.85	6	-158.042	431.301391304348	323.692695652174
336	1	310.306	315.516	309.2	NA	NA	NA	NA	100	100	1	1	2	-153.153	412.556	309.431
336	2	312.891	323.312	310.679	0.424	0.7149	0.7376	0.6667	48	52	0.798	0.838	4	-152.445	415.52829787234	310.20914893617
336	3	308.522	324.153	305.204	0.813	0.0259	0.0347	0	8	49	0.777	0.949	6	-148.261	411.739391304348	304.130695652174
352	1	311.913	317.124	310.807	NA	NA	NA	NA	100	100	1	1	2	-153.957	414.164	311.039
352	2	315.109	325.53	312.897	0.431	0.5555	0.5843	1	19	81	0.531	0.924	4	-153.555	417.74829787234	312.42914893617
352	3	315.891	331.522	312.572	0.734	0.5541	0.593	0.3333	18	59	0.809	0.92	6	-151.945	419.107391304348	311.498695652174
370	1	314.985	320.196	313.879	NA	NA	NA	NA	100	100	1	1	2	-155.493	417.236	314.111
370	2	317.798	328.219	315.586	0.379	0.4743	0.5094	0.6667	40	60	0.73	0.835	4	-154.899	420.43629787234	315.11714893617
370	3	316.115	331.746	312.796	0.748	0.0786	0.1022	0.1034	20	54	0.86	0.896	6	-152.057	419.331391304348	311.722695652174
398	1	312.073	317.284	310.967	NA	NA	NA	NA	100	100	1	1	2	-154.037	414.324	311.199
398	2	303.275	313.696	301.063	0.746	0.0018	0.0033	0	26	74	0.825	0.968	4	-147.638	405.91429787234	300.59514893617
398	3	303.44	319.071	300.121	0.738	0.1763	0.2143	0.6667	21	46	0.813	0.93	6	-145.72	406.657391304348	299.048695652174
412	1	404.874	410.084	403.768	NA	NA	NA	NA	100	100	1	1	2	-200.437	507.124	403.999
412	2	391.039	401.46	388.827	0.823	1e-04	3e-04	0	50	50	0.95	0.954	4	-191.52	493.67829787234	388.35914893617
